"dota"
{
"InfoScreenClose"	"Συνέχεια"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Έξοδος"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Εισερχόμενα πυρά!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Οι εχθρικοί πύργοι προκαλούν πολλή ζημιά. Υποχωρήστε!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Θεραπεία"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseSalveTitle"	"Σοβαρή ζημιά"
"[english]basics_alert_UseSalveTitle"	"Heavy Damage"
"basics_alert_UseClarityTitle"	"Επαναφορά ενέργειας"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_UseClarityBody"	"Χρησιμοποιήστε ένα Clarity για να επαναφέρετε ενέργεια. Όταν ο χρήστης δέχεται ζημιά, η επίδραση καταλύεται."
"[english]basics_alert_UseClarityBody"	"Use a Clarity to restore mana. Taking damage will cancel the restoring effect."
"basics_alert_RespawnTitle"	"Αναβίωση σύντομα"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"Ο ήρωάς σας θα αναβιώσει στην πηγή της ομάδας σας σε λίγο.\n\nΠροσπαθήστε να γυρίσετε στη μάχη γρήγορα!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
"basics_objective_BackToCombatTitle"	"Επιστρέψτε στο μεσαίο μέτωπο επίθεσης"
"[english]basics_objective_BackToCombatTitle"	"Return to the Middle Lane"
"basics_HeroIntroTitle"	"Ο ήρωας και η ομάδα σας"
"[english]basics_HeroIntroTitle"	"Your Hero & Your Team"
"basics_objective_MoveToAncientBody"	"Πατήστε δεξί κλικ για να κινήσετε τον ήρωά σας."
"[english]basics_objective_MoveToAncientBody"	"Right-click to move your hero."
"basics_objective_MoveToMidLaneTitle"	"Μεταβείτε στο μεσαίο μέτωπο επίθεσης"
"[english]basics_objective_MoveToMidLaneTitle"	"Move to the Middle Lane"
"basics_objective_MoveToMidLaneBody"	"Κινηθείτε (δεξί κλικ) προς το μεσαίο μέτωπο επίθεσης"
"[english]basics_objective_MoveToMidLaneBody"	"Move (right-click) to the Middle lane"
"basics_objective_FollowCreepsBody"	"Κινηθείτε (δεξί κλικ) στο μεσαίο μέτωπο επίθεσης"
"[english]basics_objective_FollowCreepsBody"	"Move (right-click) into the Middle Lane."
}
